,Hotels,Prices,Descriptions,Full_Descriptions
10,Ilunion Auditori,"€ 1,022",Beds: 1 double or 2 singles,"Situated 10 minutes' walk from the Arc de Triomf Metro and Train Station, the Ilunion Auditori features a rooftop swimming pool 3 m wide by 5 m long and gym. Free WiFi is available throughout.

All modern rooms at the Auditori have wooden floors, air conditioning, a flat-screen TV with satellite channels, and a safe. The private bathrooms include a hairdryer and free toiletries.

This hotel is officially adapted for guests with reduced mobility, accessible rooms are available on request, also for people with auditory and visual impairment.

The Ilunion Auditori serves a daily breakfast and offers à- la-carte dishes made with seasonal products. There is also a special menu for celiac and food intolerant guests. Room service is available during limited hours, and a snack bar is open during the evening. A range of restaurants and bars can be found in the nearby areas of the Eixample, Born and Gothic Quarter.

Guests can enjoy a work out at the gym, which is equipped with cardiovascular equipment. The seasonal rooftop pool, which is surrounded by sun loungers, offers the ideal place for relaxation with stunning views over the city.

Free internet access is available at the computers in the reception area. The famous Barcelona Auditorium is a 5-minute walk away, while the the Sagrada Familia and the Ciutadella Park are 1.5 km away. Underground private parking is available on site for an additional charge.

This hotel is officially adapted for guests with reduced mobility."
11,Motel One Barcelona-Ciutadella,"€ 1,070",1 double bed,"Set in Barcelona’s Born District, right beside Ciutadella Park, Motel One Barcelona-Ciutadella offers modern, air-conditioned rooms with a private bathroom and an interactive TV.

Motel One Barcelona-Ciutadella features a 24-hour lounge bar and a continental breakfast is available each morning at the property. The hotel also has a rooftop terrace with views of Ciutadella Park, the sea and the Barcelona skyline.

Plaça Catalunya and the Ramblas can be reached in a 20-minute walk, as can Barcelona’s Olympic Port. The Sagrada Familia is 30 minutes’ walk away.

Arc de Triomf metro and train station is just 400 metres away. Motel One is only 20 minutes from the International Convention Center – CCIB FORUM and 30 minutes from the Fira Barcelona Exhibition Centre in public transport."
12,Zenit Barcelona,"€ 1,107",Beds: 1 double or 2 singles,"Zenit Barcelona is 250 metres from Plaza Francesc Macià on Barcelona’s Diagonal Avenue. This modern hotel offers stylish air-conditioned and soundproofed rooms, with free Wi-Fi and a pillow menu.

The Zenit is a 15-minute walk from Passeig de Gràcia Boulevard, where Gaudí’s famous La Pedrera and Casa Batlló can be found. Plaza Catalunya and Las Ramblas are a further 15 minutes’ walk away.

Rooms at the Zenit Barcelona feature satellite TV and a safe and minibar. There is a work desk and a kettle with free tea and coffee set; the private bathrooms come with a hairdryer.

Zenit Hotel’s restaurant offers gourmet Spanish and international cuisine. A special gluten-free breakfast and children's menus are available, and packed lunches and room service can be requested.

There is a 24-hour front desk and a tour desk. A laundry, dry cleaning and ironing service is offered. Parking is available 10 minutes' walk away, for an extra cost."
13,Hotel & Spa Villa Olimpica Suites,"€ 1,124",2 single beds,"This minimalist hotel is situated in the Poble Nou district of Barcelona, 15 minutes’ by foot from Bogatell Beach. It offers a seasonal outdoor pool surrounded by wooden decking and loungers.

The suites at Hotel & Spa Villa Olimpica Suites feature monochrome decoration and a flat-screen TV. They also include air conditioning and a modern bathroom.

The Hotel & Spa Villa Olimpica Suites complex offers a stylish café-bar and restaurant. Guests can enjoy Mediterranean cuisine from the á la carte and daily menus. In summer meals can be enjoyed on the terrace by the pool.

Guests have access to the hotel's large spa for an additional cost. It includes an indoor treatment pool, Finnish sauna, Turkish baths, jacuzzis, hot tubs, several types of shower and an ice fountain. There is also a gym.

Barcelona Port is 15 minutes' walk away and Bogatell Metro Station is 100 metres from the hotel. Guests can walk to the lively Villa Olimpica area in 5 minutes.

All rooms include 1 complimentary access per person per stay to the hotel spa (subject to availability and upon reservation)."
14,Acta BCN 40,€ 966,1 double bed,"Acta BCN 40 Hotel is centrally located 350 metres from Barcelona’s Plaza Universitat, and a 5-minute walk from the Ramblas. It offers modern rooms with flat-screen satellite TVs.

Rooms at the Acta are air-conditioned in summer and heated in winter, and have a free safe. The private bathroom comes with a hairdryer and amenities, and you can request an iron at reception.

Guests can enjoy a varied buffet breakfast in the hotel’s stylish breakfast room. A gluten-free breakfast is available upon request. There are many bars, shops and restaurants within a short walk of the hotel.

The Acta BCN 40 has a 24-hour front desk and offers luggage storage. Parking is available nearby for an extra charge."
15,Sallés Hotel Pere IV,"€ 1,427",Multiple bed types,"Pere IV is situated in the Poble Nou District, 10 minutes’ walk from the lively Port Olimpic area and Barcelona's beaches. This hotel features a free spa, free Wi-Fi and 24-hour reception.

Each of the spacious rooms comes with a minibar, and a flat-screen TV with satellite channels.

The à la carte Garum Restaurant offers Mediterranean cuisine. The hotel serves a daily, buffet breakfast.

Guests enjoy free access to the Pere IV's spa, which includes a Finnish sauna, a hammam, indoor pool and sensation showers.

The Pere IV is a short walk from the beach and the new marina. Nearby Bogatell Metro Station offers easy access to the beach and the city centre, which can both be reached within 15 minutes."
16,Golden Hotel Barcelona,"€ 1,132",Beds: 1 double or 2 singles,"Situated in Barcelona, 1.4 km from Sagrada Familia, Golden Hotel Barcelona is a sustainable property with the Biosphere certificate. It provides a rooftop terrace with outdoor swimming pool, jacuzzi and bar. 1.5 km from Port Olympic, the property is also 1.7 km from Sagarda Familia and 1.9 km away from Picasso Museum. There is a gym, a restaurant and a shared lounge.

 All guests staying at the Golden Hotel Barcelona get 1 free entry for person and stay to the spa at Hotel & Spa Villa Olimpic@ Suites complex (subject to availability and with prior reservation), located 450 meters away.

A buffet breakfast is available each morning at the property.

Speaking Spanish, Catalan, German and English at the reception, staff are ready to help around the clock.

Barcelona El Prat Airport is 15 km from the property."
17,Hotel Astoria,"€ 1,080",Beds: 1 double or 2 singles,"Astoria is just off Barcelona’s Diagonal Avenue, a 5-minute walk from Diagonal Metro Station and Paseo de Gracia Avenue. It features a rooftop pool with views, and a gym.

The Astoria Hotel combines original Art Nouveau features with modern facilities. Air-conditioned rooms have satellite TV, a safe and minibar. They feature wooden floors and free Wi-Fi, and the modern bathrooms come with a hairdryer.

The restaurant at the Astoria offers traditional Catalan cuisine, and room service is available. There is also a terrace and a bar.

There is a 24-hour front desk"
18,Catalonia Eixample 1864,"€ 1,244",Beds: 1 double or 2 singles,"Located in Barcelona’s Eixample district, this 19th-century building offers stylish modern interiors and free WiFi. It is just 300 metres from the designer shops and Gaudí buildings of Passeig de Gràcia Boulevard.

The Catalonia Eixample 1864 is housed in one of the Eixample’s oldest buildings, and its painted façade gives it the Speciality Monument status.

All soundproofed en-suite rooms sleek wooden floors and furniture, air conditioning and all rooms have smart TVs, which are equipped with Chromecast app.. Some rooms have a private terrace and pool.

A buffet breakfast with show cooking is offered every morning at the Sala Minerva; while the hotel's Les Finestres de Llúria restaurant serves traditional Catalan food with a creative twist. Room service is also available.

Catalonia Eixample 1864 boasts a rooftop swimming pool, sundeck and bar; as well as a gym.

The Catalonia Eixample 1864 is ideally located just a 5-minute walk from Passeig de Gracia Station. Plaza Catalunya Square is a 10-minute walk away.

The hotel offers private parking on-site for an extra cost and an electric vehicle charging station."
19,Silken Sant Gervasi,€ 826,2 single beds,"Located in the quiet San Gervasi district of Barcelona, this elegant hotel offers modern rooms with free internet connection. The Silken is just 8 minutes by train from Plaza Catalunya.

The restaurant at Silken San Gervasi offers traditional cuisine with modern influences. A breakfast buffet is served in the cafeteria, and drinks and snacks are also available throughout the day.

Functional rooms include a free safe and central heating and air conditioning. The marble bathroom is complete with a hairdryer.

Silken St. Gervasi is a 15-minute walk from Park Guell, with impressive structures, mosaics and architecture by Antoni Gaudí. El Putxet Station can be found 50 metres from the hotel with direct access to the city centre."
