Destination,Month,RoomType,Stars,PricePerNight
"Barcelona",6,"Standard",0,1277
"Barcelona",6,"Standard",0,2396
"Barcelona",6,"Standard",0,2827
"Barcelona",6,"Standard",0,2579
"Barcelona",6,"Standard",0,1802
"Barcelona",6,"Standard",0,1383
"Barcelona",6,"Standard",0,955
"Barcelona",6,"Standard",0,2047
"Barcelona",6,"Standard",0,1650
"Barcelona",6,"Standard",0,2069
"Barcelona",6,"Standard",0,1615
"Barcelona",6,"Standard",0,1513
"Barcelona",6,"Standard",0,2214
"Barcelona",6,"Standard",0,1659
"Barcelona",6,"Standard",0,1730
"Barcelona",6,"Standard",0,2374
"Barcelona",6,"Standard",0,1287
"Barcelona",6,"Standard",0,960
"Barcelona",6,"Standard",0,861
"Barcelona",6,"Standard",0,2026
"Barcelona",6,"Standard",0,2136
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,2390
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1204
"Barcelona",6,"Standard",0,1547
"Barcelona",6,"Standard",0,0.2
"Barcelona",6,"Standard",0,1397
"Barcelona",6,"Standard",0,2729
"Barcelona",6,"Standard",0,3
"Barcelona",6,"Standard",0,1648
"Barcelona",6,"Standard",0,1402
"Barcelona",6,"Standard",0,1412
"Barcelona",6,"Standard",0,1617
"Barcelona",6,"Standard",0,2140
"Barcelona",6,"Standard",0,400
"Barcelona",6,"Standard",0,1544
"Barcelona",6,"Standard",0,2771
"Barcelona",6,"Standard",0,1556
"Barcelona",6,"Standard",0,1775
"Barcelona",6,"Standard",0,2316
"Barcelona",6,"Standard",0,1450
"Barcelona",6,"Standard",0,16
"Barcelona",6,"Standard",0,1782
"Barcelona",6,"Standard",0,1187
"Barcelona",6,"Standard",0,1929
"Barcelona",6,"Standard",0,24
"Barcelona",6,"Standard",0,17
"Barcelona",6,"Standard",0,1510
"Barcelona",6,"Standard",0,1307
"Barcelona",6,"Standard",0,162023
"Barcelona",6,"Standard",0,1371
"Barcelona",6,"Standard",0,1282
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1580
"Barcelona",6,"Standard",0,1553
"Barcelona",6,"Standard",0,1340
"Barcelona",6,"Standard",0,200
"Barcelona",6,"Standard",0,1334
"Barcelona",6,"Standard",0,1655
"Barcelona",6,"Standard",0,1773
"Barcelona",6,"Standard",0,947
"Barcelona",6,"Standard",0,1186
"Barcelona",6,"Standard",0,1562
"Barcelona",6,"Standard",0,1584
"Barcelona",6,"Standard",0,2210
"Barcelona",6,"Standard",0,1197
"Barcelona",6,"Standard",0,1652
"Barcelona",6,"Standard",0,1316
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,1867
"Barcelona",6,"Standard",0,1381
"Barcelona",6,"Standard",0,2593
"Barcelona",6,"Standard",0,122
"Barcelona",6,"Standard",0,1584
"Barcelona",6,"Standard",0,2037
"Barcelona",6,"Standard",0,1363
"Barcelona",6,"Standard",0,500
"Barcelona",6,"Standard",0,2630
"Barcelona",6,"Standard",0,2381
"Barcelona",6,"Standard",0,1929
"Barcelona",6,"Standard",0,1945
"Barcelona",6,"Standard",0,3
"Barcelona",6,"Standard",0,1391
"Barcelona",6,"Standard",0,1027
"Barcelona",6,"Standard",0,1323
"Barcelona",6,"Standard",0,1553
"Barcelona",6,"Standard",0,300
"Barcelona",6,"Standard",0,2179
"Barcelona",6,"Standard",0,1198
"Barcelona",6,"Standard",0,971
"Barcelona",6,"Standard",0,1625
"Barcelona",6,"Standard",0,1250
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,2327
"Barcelona",6,"Standard",0,1538
"Barcelona",6,"Standard",0,1464
"Barcelona",6,"Standard",0,1728
"Barcelona",6,"Standard",0,5
"Barcelona",6,"Standard",0,2322
"Barcelona",6,"Standard",0,4604
"Barcelona",6,"Standard",0,1168
"Barcelona",6,"Standard",0,1659
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1892
"Barcelona",6,"Standard",0,5
"Barcelona",6,"Standard",0,1498
"Barcelona",6,"Standard",0,1599
"Barcelona",6,"Standard",0,1302
"Barcelona",6,"Standard",0,1508
"Barcelona",6,"Standard",0,2813
"Barcelona",6,"Standard",0,20
"Barcelona",6,"Standard",0,1565
"Barcelona",6,"Standard",0,2
"Barcelona",6,"Standard",0,2
"Barcelona",6,"Standard",0,1394
"Barcelona",6,"Standard",0,2014
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1278
"Barcelona",6,"Standard",0,2410
"Barcelona",6,"Standard",0,1896
"Barcelona",6,"Standard",0,840
"Barcelona",6,"Standard",0,33
"Barcelona",6,"Standard",0,1188
"Barcelona",6,"Standard",0,2190
"Barcelona",6,"Standard",0,1237
"Barcelona",6,"Standard",0,2259
"Barcelona",6,"Standard",0,1709
"Barcelona",6,"Standard",0,1764
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,2065
"Barcelona",6,"Standard",0,2793
"Barcelona",6,"Standard",0,400
"Barcelona",6,"Standard",0,1643
"Barcelona",6,"Standard",0,500
"Barcelona",6,"Standard",0,2453
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,2957
"Barcelona",6,"Standard",0,2370
"Barcelona",6,"Standard",0,1765
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,3923
"Barcelona",6,"Standard",0,25
"Barcelona",6,"Standard",0,1771
"Barcelona",6,"Standard",0,24
