,Hotels,Prices,Descriptions,Full_Descriptions
0,Odalys City Marseille Centre Euromed,€ 919,Beds: 1 double or 2 singles,"Odalys City Marseille Centre Euromed is located in the Euromed - La Joliette district of Marseille, less than 1 km from Joliette Metro Station, a 10-minute walk from Les Terrasses du Port Shopping Centre and 2.2 km from Museum of European and Mediterranean Civilisations. This 4-star aparthotel offers a 24-hour front desk. The accommodation provides a sauna, free WiFi throughout the property and family rooms.

Accommodation is fitted with air conditioning, a fully equipped kitchenette with a dining area, a flat-screen TV and a private bathroom with shower and a hair dryer. At the aparthotel, all units include bed linen and towels.

A selection of options including fresh pastries, fruits and juice is served for the buffet breakfast.

The aparthotel also features a plunge pool and a hammam for guests to relax in. A bicycle rental service is available at Odalys City Marseille Centre Euromed.

Marseille Saint-Charles Train Station is 1.9 km from the accommodation, while Vieux Port Metro station is 2.7 km away. The nearest airport is Marseille Provence Airport, 20 km from Odalys City Marseille Centre Euromed."
1,LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port,€ 743,1 large double bed,"Set in the centre of Marseille, 2.8 km from Plage des Catalans, the historic LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port offers accommodation with free WiFi and a garden. With garden views, this accommodation provides a patio. Boasting family rooms, this property also provides guests with a sun terrace.

All units come with air conditioning, a flat-screen TV with satellite channels, a coffee machine, a shower, a hair dryer and a desk. Units come with a kettle and a private bathroom with free toiletries, while some rooms also feature a fully equipped kitchen fitted with an oven. At the apartment complex, every unit includes bed linen and towels.

Popular points of interest near the apartment include Joliette Metro Station, Vieux Port Metro station and Les Terrasses du Port Shopping Centre. The nearest airport is Marseille Provence Airport, 21 km from LE PANIER ENCHANTÉ - Suites & Loft - Terrasse et patio au dessus du Vieux Port."
2,Crowne Plaza - Marseille Le Dôme,€ 733,1 large double bed,"Situated in Marseille, 2.8 km from La Timone Metro Station, Crowne Plaza - Marseille Le Dôme features accommodation with a seasonal outdoor swimming pool, private parking, a fitness centre and a terrace. Featuring a restaurant, the 4-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation offers room service, a concierge service and luggage storage for guests.

The units at the hotel are fitted with a seating area, a flat-screen TV and a safety deposit box. All rooms will provide guests with a desk and a coffee machine.

Breakfast is available each morning, and includes buffet, continental and American options.

Languages spoken at the reception include English, Spanish, French and Italian.

Vieux Port Metro station is 4.1 km from Crowne Plaza - Marseille Le Dôme, while Castellane Metro Station is 4.2 km from the property. The nearest airport is Marseille Provence Airport, 23 km from the accommodation."
3,Maison Dormoy,€ 904,1 large double bed,"Situated in Marseille, 2.9 km from Saint-Ferreol Street and 3.2 km from Les Terrasses du Port Shopping Centre, Maison Dormoy features free WiFi.

A continental breakfast is available each morning at the property.

Museum of European and Mediterranean Civilisations is 3.4 km from Maison Dormoy, while Marseille Chanot Exhibition and Convention Centre is 3.8 km from the property. The nearest airport is Marseille Provence Airport, 29 km from the accommodation."
4,Les Cocons - Appartements d'Hôtes Design,€ 672,1 double bed,"Located 300 metres from the old harbour, Appartements d’Hôtes Design offers accommodations decorated in a design-style with parquet flooring. They all include a flat-screen TV and an equipped kitchen. Free Wi-Fi access is provided.

The bathroom is fitted with a shower. After a long day of sightseeing, you can rest in the seating area of your air-conditioned accommodation.

The kitchen is equipped with a stove, a coffee machine and a dining area.  Restaurants and bars can be found right at the bottom of the building.

It is situated 1.4 km from Saint-Charles Train Station and 100 metres from Vieux-Port Hôtel de Ville Metro Station. There is a public car park at a location nearby."
5,Toyoko INN Marseille Saint Charles,€ 566,1 large double bed,"Set in Marseille, just a 5-minute walk from Marseille Saint Charles Train Station, Toyoko INN Marseille Saint Charles features a garden and free WiFi. The hotel is easily accessible from A7 highway. Secured parking is provided but parking spots are limited and cannot be booked in advance.

The air-conditioned guest rooms in the hotel are equipped with a flat-screen TV, desk and a private bathroom with a bath.

Speaking English and French, staff are willing to help at any time of the day at the reception.

Marseille's Old Port is 1.1 km from the accommodation and Les Terrasses du Port Shopping Centre is 20 minutes' walk away. The nearest airport is Marseille Provence Airport, 20 km from Toyoko INN Marseille Saint Charles."
6,Residhotel Vieux Port,€ 566,1 large double bed,"Residhotel Vieux Port is located in Marseille's city centre, in front of the old port and a 15-minute walk from both the Mucem Museum and les Terrasses du Port Shopping Centre. It offers air-conditioned guest rooms with a private bathroom, flat-screen TVs and free WiFi.

Each spacious apartment has a kitchenette, a seating area and a flat-screen TV. Bed linen and towels are included.

A continental breakfast is available daily in the dining room. The reception is open every day from 07:30 to 12:30 and from 14:00 to 22:30.

Residhotel Vieux Port is in close proximity to the Palais de la Bourse and the Boulevard de la Canebière.

Vieux-Port Metro Station is just 200 metres from the property, and Saint-Charles train station is 1.3 km away. Public parking is available nearby."
7,Résidence Kley,€ 406,1 double bed,"Résidence Kley has a shared lounge, terrace, water sports facilities and tennis court in Marseille. Located around 1.1 km from Joliette Metro Station, the hotel with free WiFi is also 1.3 km away from Les Terrasses du Port Shopping Centre. The accommodation offers evening entertainment and a shared kitchen.

At the hotel, the rooms have a desk. At Résidence Kley all rooms are fitted with bed linen and towels.

You can play table tennis at the accommodation, and the area is popular for hiking and windsurfing.

Marseille Saint-Charles Train Station is 1.2 km from Résidence Kley, while Vieux Port Metro station is 1.9 km from the property. The nearest airport is Marseille Provence Airport, 21 km from the hotel."
8,PARADISE Earth & Sea,€ 649,1 double bed,"Providing city views, PARADISE Earth & Sea is located in the Vieux Port - La Canebière district of Marseille, 2.9 km from Fausse Monnaie and 400 metres from Vieux Port Metro station. There is a private entrance at the aparthotel for the convenience of those who stay. The property is 400 metres from the city centre and 2 km from Plage des Catalans.

The air-conditioned units have a fully equipped kitchenette with a microwave, coffee machine, and a fridge. Featuring a private bathroom with a walk-in shower and a hair dryer, units at the aparthotel also offer free WiFi, while some rooms are equipped with a terrace. At the aparthotel, each unit is equipped with bed linen and towels.

Popular points of interest near the aparthotel include Saint-Ferreol Street, Castellane Metro Station and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 22 km from PARADISE Earth & Sea."
9,Appart'City Confort Marseille Centre Prado Vélodrome,€ 545,Beds: 1 double or 2 singles,"Appart'City Confort Marseille Centre Prado Vélodrome, just 200 metres from Périer Metro Station, which leads directly to the centre of Marseille, The European and Mediterranean Civilisations Museum (MuCEM), and the old port. Palais des Congrès and the Vélodrome Stadium are next to the property.

The accommodation is contemporary in style and has an LCD TV. Each room, suite and studio also have a private bathroom and free toiletries.

The buffet breakfast can be enjoyed in the breakfast room. Additional facilities at this property include free WiFi and a 24-hour reception. There is the possibility to use the computers for free in the entertainment room, as well as the Nespresso Corner.

The property is ideally located just 4 metro stops from Saint-Charles Train Station. Parking is available for an extra cost."
10,Mercure Marseille Canebière Vieux-Port,€ 889,1 double bed,"Well located in Marseille, Mercure Marseille Canebière Vieux-Port provides air-conditioned rooms, free bikes, free WiFi and a shared lounge. Each accommodation at the 4-star hotel has city views, and guests can enjoy access to a restaurant and to a bar. The accommodation features room service, a concierge service and luggage storage for guests.

Guest rooms are equipped with a flat-screen TV with cable channels, minibar, a kettle, a shower, free toiletries and a wardrobe. At the hotel, each room comes with a private bathroom with a hairdryer.

Languages spoken at the 24-hour front desk include English, Spanish and French.

Popular points of interest near Mercure Marseille Canebière Vieux-Port include Vieux Port Metro station, Saint-Ferreol Street and Castellane Metro Station. The nearest airport is Marseille Provence Airport, 22 km from the accommodation."
11,Le Ryad Boutique Hôtel,€ 763,1 large double bed,"Le Ryad is located in the heart of Marseille, just 50 metres from La Canebiere and 1 km from the Old Port. It offers Moroccan-style rooms with free Wi-Fi internet access.

With a courtyard and an oriental garden, Le Ryad offers a range of uniquely decorated rooms, accessed through a staircase. Each is equipped with air conditioning and a private bathroom.

There is a tea salon open daily that serves mint tea, fruit juices and Moroccan pastries.

There are 2 breakfast options, a simple one and another one including fresh orange juice, fresh fruit salad, Moroccan crepe, yogurt, croissants, bread, butter, honey, jam and hot beverage.

Le Ryad is 300 metres from the Reformés Canebiere Metro Station, and 850 metres from the Marseille Saint-Charles Train Station. Public parking is available 100 metres from the property."
12,New Hotel Le Quai - Vieux Port,"€ 1,057",Beds: 1 double or 2 singles,"New Hotel Le Quai - Vieux Port is located in central Marseille, overlooking the Old Port and La Canebière shopping street. This hotel offers soundproofed rooms with air-conditioning and satellite TV. Free WiFi access is available.

Entirely renovated in 2018 and 2019, the New Hotel is decorated in a colonial style and the rooms have a desk and a  private bathroom. They also have a a courtesy tray with a kettle. A bottle of water is offered upon arrival.

A buffet breakfast is served daily in the dining room or in guest rooms. The multilingual staff can also provide information on the local area at the 24-hour reception.

Famous landmarks close to the hotel include Notre Dame de la Garde, the Vieille Charité cultural centre, MUCEM museum, Pharo Palace and Saint Victor's Abbey.

New Hotel Le Quai - Vieux Port is situated opposite the Vieux-Port Hotel de Ville Metro Station and 300 metres from the Belsunce Alcazar Tramway. Chanot Exhibition Centre can be reached in 10 minutes on the metro. The Panier district is just a 10-minute walk away."
13,RENTY Côté Parc Parking inclus,€ 650,Managed by a private host,"RENTY Côté Parc is located in the Chanot - Stade Velodrome district of Marseille, a 13-minute walk from Marseille Chanot Exhibition and Convention Centre and 1.4 km from Orange Velodrome Stadium. This property is 1.9 km from Saint-Ferreol Street.

The apartment has 2 bedrooms and a fully equipped kitchen with a dishwasher. A flat-screen TV is offered. The air-conditioned living room has a seating and dining area.

Notre-Dame de la Garde Basilica is 2.1 km from RENTY Côté Parc. The nearest airport is Marseille Provence Airport, 23 km from the accommodation."
