,Hotels,Prices,Descriptions,Full_Descriptions
314,La Canebière - Appart 2 chambres avec terrasse,"€ 1,087",Managed by a private host,"La Canebière - Appart 2 chambres avec terrasse is located in the Vieux Port - La Canebière district of Marseille, 700 metres from Saint-Ferreol Street, 1.5 km from Castellane Metro Station and less than 1 km from Marseille Saint-Charles Train Station. It is situated 600 metres from Vieux Port Metro station and features a lift. The property is 2.4 km from Plage des Catalans, and within less than 1 km of the city centre.

The apartment has 2 bedrooms, 1 bathroom, bed linen, towels, a TV, a dining area, a fully equipped kitchen, and a terrace with city views. The accommodation is non-smoking.

Popular points of interest near the apartment include Museum of European and Mediterranean Civilisations, Joliette Metro Station and Les Terrasses du Port Shopping Centre. The nearest airport is Marseille Provence Airport, 22 km from La Canebière - Appart 2 chambres avec terrasse."
315,Appartement 1 ch à 1 min de la plage des Catalans,€ 743,Managed by a private host,"Appartement 1 ch à 1 min de la plage des Catalans is a beachfront property set in Marseille, 200 metres from Plage des Catalans and 1.6 km from Fausse Monnaie. It is located 700 metres from Palais du Pharo and offers a lift. The property is non-smoking and is situated 1.8 km from Plage de Maldorme.

The apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a shower and a hair dryer. Towels and bed linen are offered in the apartment. The property offers city views.

Saint-Ferreol Street is 2.1 km from the apartment, while Vieux Port Metro station is 1.8 km from the property. The nearest airport is Marseille Provence Airport, 24 km from Appartement 1 ch à 1 min de la plage des Catalans."
316,LA PHOCÉENNE - Bel appartement avec vue idéalement situé,€ 713,1 large double bed,"Offering sea views, LA PHOCÉENNE - Bel appartement avec vue idéalement situé is an accommodation located in Marseille, 700 metres from Museum of European and Mediterranean Civilisations and 800 metres from Vieux Port Metro station. It is situated 1.3 km from Les Terrasses du Port Shopping Centre and provides a lift. The property is 2.1 km from Plage des Catalans, and within 700 metres of the city centre.

The 1-bedroom apartment is equipped with a living room with a TV, a fully equipped kitchen with a microwave and a toaster, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Joliette Metro Station, Saint-Ferreol Street and Marseille Saint-Charles Train Station. The nearest airport is Marseille Provence Airport, 22 km from LA PHOCÉENNE - Bel appartement avec vue idéalement situé."
317,Marseille Côté Cour,€ 581,Managed by a private host,"Boasting air-conditioned accommodation with a terrace, Marseille Côté Cour is situated in Marseille. The property is around 1.9 km from Castellane Metro Station, 2.7 km from Museum of European and Mediterranean Civilisations and 2.9 km from Joliette Metro Station. The property is non-smoking and is set 1.5 km from Vieux Port Metro station.

With free WiFi, this 1-bedroom apartment features a flat-screen TV, a washing machine and a fully equipped kitchen with an oven and microwave. Towels and bed linen are available in the apartment. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include La Timone Metro Station, Marseille Saint-Charles Train Station and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 23 km from Marseille Côté Cour."
318,Loft Luxe Liberté,€ 389,"2 beds (1 sofa bed, 1 large double)","Located in Marseille, 2.9 km from Plage des Catalans and 400 metres from Marseille Saint-Charles Train Station, Loft Luxe Liberté provides accommodation with amenities such as free WiFi and a TV. The property features inner courtyard views and is 1.9 km from Les Terrasses du Port Shopping Centre and 1.4 km from Saint-Ferreol Street. The property is non-smoking and is set 1.7 km from Joliette Metro Station.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a bath and a hair dryer. Towels and bed linen are provided in the apartment.

Castellane Metro Station is 2.3 km from the apartment, while Vieux Port Metro station is 1.1 km away. The nearest airport is Marseille Provence Airport, 22 km from Loft Luxe Liberté."
319,Happy T1 tout équipé - confort - Vieux Port,€ 715,Managed by a private host,"In the Vieux Port - La Canebière district of Marseille, close to Saint-Ferreol Street, Happy T1 tout équipé - confort - Vieux Port has free WiFi and a washing machine. The property is close to several well-known attractions, 1.4 km from Notre-Dame de la Garde Basilica, 1.6 km from Museum of European and Mediterranean Civilisations and 1.8 km from Joliette Metro Station. The property is 1.9 km from Plage des Catalans, and within 300 metres of the city centre.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with a shower and a hair dryer. Towels and bed linen are offered in the apartment. This apartment is non-smoking and soundproof.

Popular points of interest near the apartment include Vieux Port Metro station, Castellane Metro Station and Palais du Pharo. The nearest airport is Marseille Provence Airport, 23 km from Happy T1 tout équipé - confort - Vieux Port."
320,Cosy apartment in the heart of le Panier,€ 481,1 double bed,"Cosy apartment in the heart of le Panier is set in Marseille.

The accommodation is non-smoking."
321,Résidence services seniors Les Jardins d'Arcadie de Marseille,€ 713,1 double bed,"In the Euromed - La Joliette district of Marseille, close to Joliette Metro Station, Résidence services seniors Les Jardins d'Arcadie de Marseille features a shared lounge and a washing machine. Guests staying at this apartment have access to a balcony. Free WiFi is available throughout the property, as well as a terrace and a restaurant. The property also offers accommodation for disabled guests.

The air-conditioned apartment consists of 1 bedroom, a fully equipped kitchenette and 1 bathroom. A flat-screen TV is provided. The accommodation is non-smoking.

An à la carte breakfast is available daily at the apartment.

Les Terrasses du Port Shopping Centre is 1 km from Résidence services seniors Les Jardins d'Arcadie de Marseille, while Museum of European and Mediterranean Civilisations is 2.7 km away. The nearest airport is Marseille Provence Airport, 20 km from the accommodation."
322,Hyper Centre Vieux Port - Loft - Les Frères de la Loc',€ 694,Managed by a private host,"Located in the centre of Marseille, Hyper Centre Vieux Port - Loft - Les Frères de la Loc' provides accommodation with free WiFi in a historic building. The property features city views and is 2.7 km from Fausse Monnaie and 400 metres from Vieux Port Metro station. The property is non-smoking and is situated 1.6 km from Plage des Catalans.

The apartment comes with 1 bedroom, a fully equipped kitchen with a fridge and kitchenware, and 1 bathroom with a shower, free toiletries and a washing machine. At the apartment, there is a dressing room for guests to change in.

Popular points of interest near Hyper Centre Vieux Port - Loft - Les Frères de la Loc' include Saint-Ferreol Street, Castellane Metro Station and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 22 km from the accommodation."
323,ibis Marseille Centre Euromed,€ 565,"2 beds (1 single, 1 double)","Just 2 km from the Old Port, Hôtel ibis Marseille Euroméditerranée offers modern accommodation with a 24-hour reception, free newspapers and free WiFi. It also has a restaurant, a bar and a terrace.

The air-conditioned hotel’s rooms feature a TV with satellite and cable channels. They all have an en suite bathroom with hairdryer and shower.

A buffet breakfast composed of sweet and savoury dishes such as eggs, fruit salad, yogurts and juices is served every day. Pastries baked on site and fresh French Madeleine cakes are also on offer, as well as a hot beverage and a piece of fruit to take away. Outside of regular breakfast hours guests can also enjoy a lighter option, available from 04:00.

Guests can dine at the hotel’s à-la-carte restaurant or enjoy a drink on the terrace’s bar.

Bus lines, a metro station and a tram stop can be found within 400 metres of the property and allow guests to easily access Saint-Charles train station, the city centre and the Old Port. Parc Chanot Exhibition Centre and the Catalans Beaches are 4 km away, while Notre-Dame de la Garde is 3.5 km away. Underground public parking is available nearby at a discounted cost.

Marseille-Marignane Airport is 23 km away.

Our hotel is getting a makeover for your future well-being. We will welcome you in the best possible conditions and everything is done to ensure your peace of mind. We are ready and eager to welcome you!

From March 27, 2023, we will start work on the ground floor.
Work that may cause noise pollution will be carried out between 10 a.m. and 5 p.m."
324,NH Collection Marseille,"€ 1,105",1 large double bed,"Featuring a cocktail bar, garden and a fitness centre on the 6th floor, NH Collection Marseille is located in the new business and leisure district of Marseille, La Joliette. Located between the port and the city centre, the building was inaugurated by Napoleon III in 1864 and preserves its original style.

Rooms at NH Collection Marseille feature elegant décor and offer an electric kettle, coffee machine and private bathroom.

Guests can enjoy the on-site restaurant, which serves local and international dishes with a variety of local cheeses and wines.Guests can also find a cocktail bar located close to the hotel reception, as well as a garden in the centre of the hotel.

There is a 24-hour front desk at the property as well as 4 meeting rooms.

Museum of European and Mediterranean Civilisations is 900 metres from NH Collection Marseille, while Palais du Pharo is 1.4 km away. The nearest airport is Marseille Provence Airport, 19 km from NH Collection Marseille."
325,Sacha,€ 678,1 double bed,"Sacha has a balcony and is situated in Marseille, within just 700 metres of Castellane Metro Station and 1.3 km of Saint-Ferreol Street. It is located 2.6 km from Plage du Prado Nord and features a lift. Free WiFi is available throughout the property and Prophete is 2.5 km away.

The apartment has 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a terrace with city views. The accommodation is non-smoking.

Notre-Dame de la Garde Basilica is 1.4 km from the apartment, while La Timone Metro Station is 2.2 km from the property. The nearest airport is Marseille Provence Airport, 24 km from Sacha."
326,Un 2 pièces A 100m du Vieux port,€ 735,Managed by a private host,"Offering free WiFi and quiet street views, Un 2 pièces A 100m du Vieux port is an accommodation located in the centre of Marseille, just 1.9 km from Plage des Catalans and 500 metres from Saint-Ferreol Street. The property is situated 1.6 km from Museum of European and Mediterranean Civilisations, 2.9 km from La Timone Metro Station and 1.7 km from Joliette Metro Station. Les Terrasses du Port Shopping Centre is 1.9 km from the apartment and Notre-Dame de la Garde Basilica is 1.7 km away.

The apartment features 1 bedroom, a flat-screen TV, a fully equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment. This apartment is non-smoking and soundproof.

A minimarket is available at the apartment.

Popular points of interest near the apartment include Castellane Metro Station, Vieux Port Metro station and Marseille Saint-Charles Train Station. The nearest airport is Marseille Provence Airport, 23 km from Un 2 pièces A 100m du Vieux port."
327,Chez Nous - 7 Appartements sur le Vieux Port,€ 680,"2 beds (1 double, 1 sofa bed)","In the Vieux Port - La Canebière district of Marseille, close to Vieux Port Metro station, Chez Nous - 7 Appartements sur le Vieux Port features free WiFi and a washing machine. The property is around 2.3 km from Fausse Monnaie, 2.4 km from Plage de Maldorme and 2.1 km from Castellane Metro Station. The property is 500 metres from the city centre and 1.1 km from Plage des Catalans.

Accommodation is fitted with air conditioning, a fully equipped kitchen with a dining area, a flat-screen TV and a private bathroom with shower and a hair dryer. A fridge is also featured, as well as a coffee machine and a kettle. At the apartment complex, all units include bed linen and towels.

Popular points of interest near the apartment include Palais du Pharo, Saint-Ferreol Street and Notre-Dame de la Garde Basilica. The nearest airport is Marseille Provence Airport, 23 km from Chez Nous - 7 Appartements sur le Vieux Port."
328,Charmant appartement 2 chambres à 10mn de la plage.,€ 861,Managed by a private host,"A recently renovated property, Charmant appartement 2 chambres à 10mn de la plage. Is set in Marseille near Plage des Catalans, Fausse Monnaie and Plage de Maldorme. This beachfront property offers access to a balcony and free WiFi. Notre-Dame de la Garde Basilica is 1 km away and Castellane Metro Station is 2.3 km from the apartment.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. For added privacy, the accommodation features a private entrance.

There is a coffee shop on-site.

Popular points of interest near the apartment include Palais du Pharo, Saint-Ferreol Street and Vieux Port Metro station. The nearest airport is Marseille Provence Airport, 23 km from Charmant appartement 2 chambres à 10mn de la plage.."
329,Les appartements chics du Vieux-Port,€ 674,1 large double bed,"Les appartements chics du Vieux-Port features accommodation within 500 metres of the centre of Marseille, with free WiFi, and a kitchen with a microwave, a fridge and kitchenware. The air-conditioned accommodation is 2.2 km from Plage des Catalans. The property offers soundproof units and is situated 3 km from Fausse Monnaie.

At the apartment complex, every unit comes with a wardrobe. All units have a private bathroom, a hair dryer and bed linen.

Popular points of interest near the apartment include Saint-Ferreol Street, Castellane Metro Station and Vieux Port Metro station. The nearest airport is Marseille Provence Airport, 23 km from Les appartements chics du Vieux-Port."
330,ibis Marseille Centre Gare Saint Charles,€ 571,1 double bed,"ibis Marseille Gare Saint Charles is 1.6 km from the Vieux Port and Joliette district. The hotel offers a bar with a terrace equipped with a boules court and free boules. Free WiFi access and a 24-hour reception are also available.

The air-conditioned rooms are equipped with a wardrobe, a desk and have a flat-screen TV with cable channels. The private bathroom has a shower, a hairdryer and free toiletries.

A buffet breakfast composed of sweet and savoury dishes such as eggs, fruit salad, yogurts and juices is served every day. Pastries baked on site and fresh French Madeleine cakes are also on offer, as well as a hot beverage and a piece of fruit to take away. Outside of regular breakfast hours guests can also enjoy a lighter option, available from 04:00. Guests can buy transportation tickets and city passes for several attractions on site.

Meeting rooms are available at the property. The hotel is less than 50 metres from the Marseille Saint Charles Train Station and the Saint Charles Metro Stop with access to lines 1 and 2. It is 25 km from Marseille-Marignane Airport. Notre-Dame de la Garde basilica is 3 km away"
331,HYPER CENTRE DE MARSEILLE VIEUX PORT,€ 916,"3 beds (1 single, 2 doubles)","Set in Marseille, 400 metres from Vieux Port Metro station and 1.5 km from Joliette Metro Station, HYPER CENTRE DE MARSEILLE VIEUX PORT offers air conditioning. It is situated less than 1 km from Marseille Saint-Charles Train Station and features a lift. The property is 2.2 km from Plage des Catalans, and within 700 metres of the city centre.

With free WiFi, this 2-bedroom apartment offers a flat-screen TV, a washing machine and a fully equipped kitchen with a dishwasher and oven. Towels and bed linen are featured in the apartment.

There is a coffee shop on-site.

Guests at the apartment will be able to enjoy activities in and around Marseille, like walking tours.

Popular points of interest near HYPER CENTRE DE MARSEILLE VIEUX PORT include Les Terrasses du Port Shopping Centre, Museum of European and Mediterranean Civilisations and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 22 km from the accommodation."
332,Le Moulin,€ 698,"2 beds (1 double, 1 sofa bed)","Le Moulin in Marseille provides accommodation with free WiFi, 800 metres from Museum of European and Mediterranean Civilisations, less than 1 km from Vieux Port Metro station and a 13-minute walk from Joliette Metro Station. The property is around 2.7 km from Castellane Metro Station, 3.4 km from Palais du Pharo and 3.5 km from Notre-Dame de la Garde Basilica. The property is 800 metres from the city centre and 2.1 km from Plage des Catalans.

This apartment includes 1 bedroom, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 1 bathroom with a shower and a washing machine. Towels and bed linen are provided in the apartment. For added privacy, the accommodation has a private entrance and soundproofing.

Popular points of interest near the apartment include Les Terrasses du Port Shopping Centre, Saint-Ferreol Street and Marseille Saint-Charles Train Station. The nearest airport is Marseille Provence Airport, 22 km from Le Moulin."
333,Margoo douceur de vivre au Panier SooHome,€ 791,Managed by a private host,"Situated in the centre of Marseille, just 2.2 km from Plage des Catalans and less than 1 km from Joliette Metro Station, Margoo douceur de vivre au Panier SooHome features accommodation with quiet street views and free WiFi. The property is set 1.7 km from Saint-Ferreol Street, 3.4 km from Palais du Pharo and 4 km from Castellane Metro Station. The property is non-smoking and is located 1.1 km from Les Terrasses du Port Shopping Centre.

This apartment includes 1 bedroom, a living room and a TV, an equipped kitchen with a dining area, and 1 bathroom with a walk-in shower and a washing machine. Towels and bed linen are offered in the apartment. For added privacy, the accommodation features a private entrance.

A minimarket is available at the apartment.

Guests at the apartment will be able to enjoy activities in and around Marseille, like hiking.

Popular points of interest near Margoo douceur de vivre au Panier SooHome include Museum of European and Mediterranean Civilisations, Vieux Port Metro station and Marseille Saint-Charles Train Station. The nearest airport is Marseille Provence Airport, 21 km from the accommodation."
334,Phocea YourHostHelper,"€ 1,200",Managed by a private host,"Set in Marseille, 800 metres from Les Terrasses du Port Shopping Centre and 1 km from Marseille Saint-Charles Train Station, Phocea YourHostHelper offers air conditioning. The property is around 3.2 km from Castellane Metro Station, 3.8 km from Palais du Pharo and 4.3 km from La Timone Metro Station. Free WiFi is available throughout the property and Joliette Metro Station is 500 metres away.

The spacious apartment is fitted with 3 bedrooms, a flat-screen TV and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a fridge. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Vieux Port Metro station, Museum of European and Mediterranean Civilisations and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 21 km from Phocea YourHostHelper."
335,Studio inspiration luxury hotel Vieux-Port,€ 600,Managed by a private host,"Located in Marseille, 2.9 km from Fausse Monnaie and 500 metres from Vieux Port Metro station, Studio inspiration luxury hotel Vieux-Port offers air conditioning. The property is close to several well-known attractions, 2 km from Joliette Metro Station, 1.5 km from Marseille Saint-Charles Train Station and 1.5 km from Notre-Dame de la Garde Basilica. The property is 400 metres from the city centre and 2.2 km from Plage des Catalans.

With free WiFi, this 1-bedroom apartment provides a flat-screen TV and a kitchen with an oven and microwave. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Saint-Ferreol Street, Castellane Metro Station and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 22 km from Studio inspiration luxury hotel Vieux-Port."
336,Les appartements d'Edmond Saint Suffren,€ 811,"2 beds (1 double, 1 sofa bed)","Located in Marseille, 2.9 km from Prophete and 400 metres from Castellane Metro Station, Les appartements d'Edmond Saint Suffren offers air conditioning. The 3-star apartment features inner courtyard views and is 700 metres from Saint-Ferreol Street. Free WiFi is available throughout the property and Plage des Catalans is 2.6 km away.

The 1-bedroom apartment is equipped with a living room with a flat-screen TV with satellite channels, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. This apartment is non-smoking and soundproof.

Vieux Port Metro station is 1.1 km from the apartment, while Notre-Dame de la Garde Basilica is 1.6 km away. The nearest airport is Marseille Provence Airport, 23 km from Les appartements d'Edmond Saint Suffren."
337,The People - Marseille,€ 794,Beds: 1 double or 2 singles,"Attractively set in Marseille, The People - Marseille features air-conditioned rooms, a shared lounge, free WiFi and a terrace. Boasting a bar, the hostel is close to several noted attractions, around less than 1 km from Joliette Metro Station, a 12-minute walk from Les Terrasses du Port Shopping Centre and less than 1 km from Vieux Port Metro station. The property is non-smoking and is situated 2.7 km from Plage des Catalans.

The rooms have bed linen.

Buffet and continental breakfast options are available each morning at the hostel.

Round-the-clock assistance is available at the reception, where staff speak English and French.

Popular points of interest near The People - Marseille include Marseille Saint-Charles Train Station, Museum of European and Mediterranean Civilisations and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 21 km from the accommodation."
338,UniqueAppart - Gare Saint Charles,€ 646,1 double bed,"Featuring views of Notre Dame de la Garde, UniqueAppart - Gare Saint Charles offers accommodation in Marseille, in front of Saint Charles Train Station. The property is 2.1 km from Palais du Pharo and 900 metres from Palais Longchamps. Free WiFi is featured throughout the property.

There is a dining area and a kitchen complete with a microwave and a refrigerator. Towels and bed linen are offered at UniqueAppart - Gare Saint Charles. There is a private bathroom with a shower.

Velodrome Stadium is 3.7 km from UniqueAppart - Gare Saint Charles, while La Canebiere is 700 metres from the property. Metro stops for both metro lines can be found 100 metres from UniqueAppart - Gare Saint Charles. Provence Airport is 20 km away."
339,STUDIO ROOFTOP 8e PRADO VELODROME MER,€ 972,Managed by a private host,"Situated in Marseille, 1.9 km from Plage du Prado Nord and 2 km from Plage de l'Huveaune, STUDIO ROOFTOP 8e PRADO VELODROME MER offers a bar and air conditioning. The property is around 1.8 km from Castellane Metro Station, 3.3 km from Saint-Ferreol Street and 3.4 km from La Timone Metro Station. Free WiFi is available throughout the property and Plage du Prado Sud is 1.9 km away.

The apartment with a terrace and garden views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a minibar, and 1 bathroom with a hot tub.

Popular points of interest near the apartment include Rond-Point du Prado Metro Station, Marseille Chanot Exhibition and Convention Centre and Orange Velodrome Stadium. The nearest airport is Marseille Provence Airport, 25 km from STUDIO ROOFTOP 8e PRADO VELODROME MER."
340,Île du Frioul,€ 444,Managed by a private host,"Île du Frioul is located in Marseille. The property has garden views. Providing free WiFi throughout the property, the non-smoking apartment features an open-air bath.

The recently renovated apartment includes 1 bedroom, a fully equipped kitchenette with a fridge and a stovetop, as well as a kettle. Towels and bed linen are featured in the apartment. Additional in-room amenities include wine or champagne.

A minimarket is available at the apartment.

Activities such as snorkelling, fishing, hiking can be enjoyed in the surroundings, and guests can relax along the beachfront. The apartment complex has a picnic area where you can spend a day out in the open.

The nearest airport is Marseille Provence Airport, 25 km from the apartment."
341,Appartement calme avec terrasse,€ 379,Managed by a private host,"Appartement calme avec terrasse is located in Marseille, 1.3 km from Castellane Metro Station, 1.8 km from Rond-Point du Prado Metro Station, as well as 1.7 km from Marseille Chanot Exhibition and Convention Centre. The property is set 2 km from Orange Velodrome Stadium, 2.7 km from Saint-Ferreol Street and 3.1 km from Vieux Port Metro station. Free WiFi is available throughout the property and La Timone Metro Station is less than 1 km away.

Opening onto a terrace, this air-conditioned apartment comes with 1 separate bedroom and a fully equipped kitchen. A flat-screen TV is provided.

Notre-Dame de la Garde Basilica is 3.9 km from the apartment, while Marseille Saint-Charles Train Station is 4.4 km away. The nearest airport is Marseille Provence Airport, 25 km from Appartement calme avec terrasse."
342,La payotte du Vieux Port,€ 510,Managed by a private host,"Offering free WiFi and city views, La payotte du Vieux Port is an accommodation located in a central area of Marseille, just 1.9 km from Plage des Catalans and 200 metres from Vieux Port Metro station. The property is close to several well-known attractions, 1.9 km from Les Terrasses du Port Shopping Centre, 1.9 km from Palais du Pharo and 1.7 km from Notre-Dame de la Garde Basilica. The property is non-smoking and is situated 500 metres from Saint-Ferreol Street.

The apartment features 1 bedroom, a flat-screen TV with cable channels, a fully equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment.

A minimarket is available at the apartment.

Popular points of interest near the apartment include Castellane Metro Station, Museum of European and Mediterranean Civilisations and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 22 km from La payotte du Vieux Port."
343,Marseille Désirée - Centre - La Joliette - gare TGV,€ 756,Managed by a private host,"Located in Marseille, less than 1 km from Les Terrasses du Port Shopping Centre and a 13-minute walk from Marseille Saint-Charles Train Station, Marseille Désirée - Centre - La Joliette - gare TGV offers air conditioning. The property is situated 2 km from Museum of European and Mediterranean Civilisations, 1.6 km from Vieux Port Metro station and 3.8 km from Saint-Ferreol Street. Free WiFi is available throughout the property and Joliette Metro Station is 500 metres away.

The 1-bedroom apartment is equipped with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Castellane Metro Station is 3.8 km from the apartment, while Palais du Pharo is 4 km away. The nearest airport is Marseille Provence Airport, 21 km from Marseille Désirée - Centre - La Joliette - gare TGV."
344,Carloo SooHome,€ 886,Managed by a private host,"In a central area of Marseille, located within a short distance of Joliette Metro Station and Les Terrasses du Port Shopping Centre, Carloo SooHome offers free WiFi, air conditioning and household amenities such as a toaster and coffee machine. The property has quiet street views and is 700 metres from Museum of European and Mediterranean Civilisations and 1 km from Vieux Port Metro station. The property is non-smoking and is set 2.3 km from Plage des Catalans.

The apartment with a terrace and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with an oven and a microwave, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment. For added privacy, the accommodation has a private entrance and soundproofing.

A minimarket is available at the apartment.

Marseille Saint-Charles Train Station is 1.8 km from the apartment, while Saint-Ferreol Street is 1.7 km away. The nearest airport is Marseille Provence Airport, 21 km from Carloo SooHome."
345,Joli T2 vintage Timone,€ 505,Managed by a private host,"Situated in Marseille, less than 1 km from La Timone Metro Station and 2.5 km from Castellane Metro Station, Joli T2 vintage Timone features air-conditioned accommodation with a balcony and free WiFi. The property has garden and inner courtyard views, and is 3.7 km from Rond-Point du Prado Metro Station. The property is non-smoking and is set 3.5 km from Marseille Chanot Exhibition and Convention Centre.

This apartment features 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. For added privacy, the accommodation features a private entrance.

Saint-Ferreol Street is 3.7 km from the apartment, while Orange Velodrome Stadium is 3.8 km from the property. The nearest airport is Marseille Provence Airport, 25 km from Joli T2 vintage Timone."
346,"Superb loft featuring garden, sauna and private pool","€ 1,088",Managed by a private host,"Superb loft featuring garden, sauna and private pool offers accommodation set 1.1 km from the centre of Marseille and provides a seasonal outdoor swimming pool and a garden. The property is located 2.8 km from Plage des Catalans, 1.6 km from Castellane Metro Station and 2.7 km from Museum of European and Mediterranean Civilisations. Offering free WiFi throughout the property, the non-smoking holiday home has a sauna.

The holiday home with a patio and pool views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bath. Guests can enjoy a meal on an outdoor dining area while overlooking the garden views. For added privacy, the accommodation features a private entrance.

Popular points of interest near the holiday home include Vieux Port Metro station, Marseille Saint-Charles Train Station and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 23 km from Superb loft featuring garden, sauna and private pool."
347,Magnifique T3 sur le Vieux Port-à 2 pas du Panier,"€ 1,080",Managed by a private host,"Located in Marseille, near Vieux Port Metro station, Saint-Ferreol Street and Museum of European and Mediterranean Civilisations, Magnifique T3 sur le Vieux Port-à 2 pas du Panier features free WiFi. The property is around 1.2 km from Marseille Saint-Charles Train Station, 2.6 km from Palais du Pharo and 1.9 km from Notre-Dame de la Garde Basilica. The property is 2.1 km from Plage des Catalans, and within 600 metres of the city centre.

The spacious apartment features 2 bedrooms, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Joliette Metro Station, Les Terrasses du Port Shopping Centre and Castellane Metro Station. The nearest airport is Marseille Provence Airport, 22 km from Magnifique T3 sur le Vieux Port-à 2 pas du Panier."
348,Le confort d'un T3 climatisé en plein coeur de Marseille,"€ 1,267",Managed by a private host,"Set in Marseille, just 2.8 km from Plage des Catalans, Le confort d'un T3 climatisé en plein coeur de Marseille offers beachfront accommodation with free WiFi. This recently renovated apartment is located 600 metres from Joliette Metro Station and 700 metres from Les Terrasses du Port Shopping Centre. The property is non-smoking and is situated 1.1 km from Museum of European and Mediterranean Civilisations.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a shower and a hair dryer. Towels and bed linen are featured in the apartment. At the apartment, there is a dressing room for guests to change in.

If you would like to discover the area, cycling, hiking and walking tours are possible in the surroundings and Le confort d'un T3 climatisé en plein coeur de Marseille can arrange a bicycle rental service.

Marseille Saint-Charles Train Station is 1.8 km from the accommodation, while Vieux Port Metro station is 1.6 km away. The nearest airport is Marseille Provence Airport, 21 km from Le confort d'un T3 climatisé en plein coeur de Marseille."
349,Le mas du grand Pin,"€ 1,061",Managed by a private host,"Located 3.7 km from Orange Velodrome Stadium, 3.9 km from Rond-Point du Prado Metro Station and 5.1 km from La Timone Metro Station, Le mas du grand Pin features accommodation set in Marseille. Free WiFi is available throughout the property and private parking is available on site. The property is non-smoking and is situated 3.5 km from Marseille Chanot Exhibition and Convention Centre.

The villa features 4 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV, a fully equipped kitchen, and a terrace with garden views.

Guests at the villa can enjoy walking tours nearby, or make the most of the garden.

Castellane Metro Station is 5.8 km from Le mas du grand Pin, while Notre-Dame de la Garde Basilica is 7.4 km from the property. The nearest airport is Marseille Provence Airport, 30 km from the accommodation."
