,Hotels,Prices,Descriptions,Full_Descriptions
10,PARADISE Earth & Sea,€ 712,1 double bed,"Providing city views, PARADISE Earth & Sea is located in the Vieux Port - La Canebière district of Marseille, 2.9 km from Fausse Monnaie and 400 metres from Vieux Port Metro station. There is a private entrance at the aparthotel for the convenience of those who stay. The property is 400 metres from the city centre and 2 km from Plage des Catalans.

The air-conditioned units have a fully equipped kitchenette with a microwave, coffee machine, and a fridge. Featuring a private bathroom with a walk-in shower and a hair dryer, units at the aparthotel also offer free WiFi, while some rooms are equipped with a terrace. At the aparthotel, each unit is equipped with bed linen and towels.

Popular points of interest near the aparthotel include Saint-Ferreol Street, Castellane Metro Station and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 22 km from PARADISE Earth & Sea."
11,New Hotel Le Quai - Vieux Port,"€ 1,129",Beds: 1 double or 2 singles,"New Hotel Le Quai - Vieux Port is located in central Marseille, overlooking the Old Port and La Canebière shopping street. This hotel offers soundproofed rooms with air-conditioning and satellite TV. Free WiFi access is available.

Entirely renovated in 2018 and 2019, the New Hotel is decorated in a colonial style and the rooms have a desk and a  private bathroom. They also have a a courtesy tray with a kettle. A bottle of water is offered upon arrival.

A buffet breakfast is served daily in the dining room or in guest rooms. The multilingual staff can also provide information on the local area at the 24-hour reception.

Famous landmarks close to the hotel include Notre Dame de la Garde, the Vieille Charité cultural centre, MUCEM museum, Pharo Palace and Saint Victor's Abbey.

New Hotel Le Quai - Vieux Port is situated opposite the Vieux-Port Hotel de Ville Metro Station and 300 metres from the Belsunce Alcazar Tramway. Chanot Exhibition Centre can be reached in 10 minutes on the metro. The Panier district is just a 10-minute walk away."
12,Les Chambres de l'Abbaye,"€ 1,015",Managed by a private host,"This B&B is set in central Marseille, just 270 metres from the Old Port. It is romantically decorated with antique furniture and guests are invited to relax in the garden or by the fireplace in the lounge.

The rooms are individually decorated and include a TV. Most rooms open up to a balcony with garden views, and one room has a private entrance with direct garden access.

Les Chambres de l’Abbaye serves a continental breakfast on the garden terrace on sunny mornings. Free WiFi is provided, and guests have access to a computer.

Private parking is available on site and Estrangin Préfecture Metro Station is 900 metres away. The B&B is 2.1 km from Marseille Train Station and 300 metres from the Abbey of St. Victor."
13,"Le Borély: Appartement climatisé avec 2 chambres, à 800m de la plage","€ 1,337",2 double beds,"Located in Marseille, just less than 1 km from Bonneveine, Le Borély: Appartement climatisé avec 2 chambres, à 800m de la plage provides beachfront accommodation with a garden, a terrace and free WiFi. The air-conditioned accommodation is 1.1 km from Plage de l'Huveaune. The property is non-smoking and is set 1.1 km from Borely.

The apartment is equipped with 2 bedrooms, a flat-screen TV with cable channels and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a toaster. Towels and bed linen are provided in the apartment. For added privacy, the accommodation features a private entrance.

Orange Velodrome Stadium is 2.4 km from the apartment, while Rond-Point du Prado Metro Station is 2.6 km away. The nearest airport is Marseille Provence Airport, 28 km from Le Borély: Appartement climatisé avec 2 chambres, à 800m de la plage."
14,Citadines Castellane Marseille,€ 919,Beds: 1 double or 2 singles,"This Citadines offers self-catered apartments in Marseille, a 3-minute drive from the A50 motorway, 5-minutes’ walk from Castellane Metro and 2 km from the Velodrome Stadium. Each apartment has an equipped kitchen and free internet.

Breakfast is available in the mornings and can be enjoyed on the terrace.

Guests can visit the Prado beaches, situated a 10-minute drive from the Citadines Apart'hotel Marseille Castellane.

Each of the Citadines’ apartments also has a comfortable seating area and a TV. Each kitchen is equipped with a microwave, fridge and electric hobs."
15,Vieux Port République Cannebiére,€ 848,Managed by a private host,"Set in the centre of Marseille, just 1.9 km from Plage des Catalans and 100 metres from Vieux Port Metro station, Vieux Port République Cannebiére offers accommodation with sea views and free WiFi. It is situated 700 metres from Saint-Ferreol Street and features full-day security. The apartment features family rooms.

The units at the apartment complex come with air conditioning, a seating area, a flat-screen TV with streaming services, a kitchen, a dining area and a private bathroom with slippers, a shower and a hair dryer. An oven, a microwave and toaster are also featured, as well as a coffee machine and a kettle. At the apartment complex, the units come with bed linen and towels.

Guests at the apartment will be able to enjoy activities in and around Marseille, like windsurfing, diving and fishing. Hiking can be enjoyed nearby.

Popular points of interest near Vieux Port République Cannebiére include Museum of European and Mediterranean Civilisations, Joliette Metro Station and Les Terrasses du Port Shopping Centre. The nearest airport is Marseille Provence Airport, 22 km from the accommodation."
16,Le Ryad Boutique Hôtel,"€ 1,021",1 large double bed,"Le Ryad is located in the heart of Marseille, just 50 metres from La Canebiere and 1 km from the Old Port. It offers Moroccan-style rooms with free Wi-Fi internet access.

With a courtyard and an oriental garden, Le Ryad offers a range of uniquely decorated rooms, accessed through a staircase. Each is equipped with air conditioning and a private bathroom.

There is a tea salon open daily that serves mint tea, fruit juices and Moroccan pastries.

There are 2 breakfast options, a simple one and another one including fresh orange juice, fresh fruit salad, Moroccan crepe, yogurt, croissants, bread, butter, honey, jam and hot beverage.

Le Ryad is 300 metres from the Reformés Canebiere Metro Station, and 850 metres from the Marseille Saint-Charles Train Station. Public parking is available 100 metres from the property."
17,Ibis Budget Marseille Timone,€ 565,"2 beds (1 double, 1 bunk bed)","Ibis Budget Marseille Timone is located in Marseille, a 5-minute walk from Vallier Stadium. Free WiFi access is available. Private bathroom also comes with a shower. The property is 3 km from Le Dôme Concert Hall, Vélodrome Stadium and Parc Chanot.

The hotel is 500 metres from La Timone Metro Station, 1.7 km from Castellane Metro Station and 2.1 km from Vieux Port Metro station. Marseille Provence Airport is 22 km away."
18,2 BR Cocon à 3min du Vieux Port,€ 917,Managed by a private host,"In the centre of Marseille, located within a short distance of Saint-Ferreol Street and Castellane Metro Station, 2 BR Cocon à 3min du Vieux Port offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. This recently renovated apartment is located 2.1 km from Plage des Catalans and 400 metres from Vieux Port Metro station. The property is non-smoking and is situated 1.1 km from Marseille Saint-Charles Train Station.

The 2-bedroom apartment is equipped with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. For added privacy, the accommodation has a private entrance and soundproofing.

Popular points of interest near the apartment include Museum of European and Mediterranean Civilisations, Joliette Metro Station and Les Terrasses du Port Shopping Centre. The nearest airport is Marseille Provence Airport, 23 km from 2 BR Cocon à 3min du Vieux Port."
19,Le Duplex - Terrasse au cœur de Marseille Panier,€ 912,Managed by a private host,"Right in the heart of Marseille, situated within a short distance of Joliette Metro Station and Vieux Port Metro station, Le Duplex - Terrasse au cœur de Marseille Panier offers free WiFi, air conditioning and household amenities such as a dishwasher and coffee machine. Guests staying at this apartment have access to a patio. The property is non-smoking and is set 2.3 km from Plage des Catalans.

The apartment features 1 bedroom, 1 bathroom, bed linen, towels, a TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with city views.

Guests can relax in the garden at the property.

Popular points of interest near the apartment include Les Terrasses du Port Shopping Centre, Museum of European and Mediterranean Civilisations and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 21 km from Le Duplex - Terrasse au cœur de Marseille Panier."
20,ADIRA Résid'Marseille Vieux-port,"€ 1,086",1 sofa bed,"Offering free WiFi and city views, ADIRA Résid'Marseille Vieux-port is an accommodation situated right in the centre of Marseille, just 300 metres from Saint-Ferreol Street and 1.2 km from Castellane Metro Station. This recently renovated apartment is located 2 km from Plage des Catalans and 400 metres from Vieux Port Metro station. The apartment has family rooms.

All units in the apartment complex are fitted with air conditioning, a seating area, a flat-screen TV with streaming services, a kitchen, a dining area and a private bathroom with a hair dryer and a shower. A microwave, a fridge and stovetop are also available, as well as a coffee machine and a kettle. At the apartment complex, units include bed linen and towels.

There is a coffee shop on-site.

Popular points of interest near the apartment include Marseille Saint-Charles Train Station, Museum of European and Mediterranean Civilisations and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 23 km from ADIRA Résid'Marseille Vieux-port."
21,Appart'City Classic Marseille Euromed,€ 546,1 double bed,"Located in Marseille, Appart’City Marseille Euromed offers non-smoking, self-catering accommodation. Guests can access both the Old Port and the train station from the 2 tram stops located within 350 metres of the property. Free fiber optic internet access is available.

Each unit features a desk, a flat-screen TV and views of the city. The private bathroom includes a hairdryer and a shower.

Guests can prepare their own meals at Appart’City Marseille Euromed. A kitchenette equipped with a microwave, kitchenware and a fridge is available in each accommodation. A buffet breakfast is served every morning at an extra cost. Breakfast is composed of various breads, including gluten-free bread, pastries, fresh and hot beverages. Fresh fruit and fruit salad, as well as cheeses and yogurts are also provided.

This property is 7 km from Prado Beach and 4 km from Notre-Dame de la Garde. The Terrasses du Port shopping centre and the maritime port are both a 10-minute walk away. Private parking is available on site for an extra cost and upon reservation."
22,Staycity Aparthotels Marseille Centre Vieux Port,€ 829,Beds: 1 double or 2 singles,"Featuring free WiFi, Staycity Aparthotels Marseille Centre Vieux Port offers air-conditioned accommodation in Marseille, only 550 metres from the port. Marseille Saint-Charles train station is a 12-minute walk away from the property.

All apartments and studios are accessible via a lift and feature a flat-screen TV. Each unit has a kitchenette fitted with a dishwasher, microwave, toaster, fridge, stovetop, coffee machine and kettle. There is a private bathroom with free toiletries in each unit. Towels and bed linen are offered.

Bars, shops and restaurants can be found within a 2-minute walk of the property.

The nearest metro station is only 44 metres from the property. Velodrome Stadium is 6.4 km from Staycity Aparthotels Marseille, while La Canebiere is 1 km away. The nearest airport is Marseille Provence Airport, 24 km from the property.

Some units come with a balcony."
23,Love room Jacuzzi Sauna Privatif Marseille,"€ 1,200",Managed by a private host,"Love room Jacuzzi Sauna Privatif Marseille provides a sauna and a hot tub, as well as air-conditioned accommodation with free WiFi in Marseille, 8.5 km from La Timone Metro Station. The accommodation features a spa bath and a hot tub. The apartment has facilities for disabled guests.

Featuring a fully equipped kitchen with an oven and a microwave, each unit also comes with a satellite flat-screen TV, ironing facilities, desk and a seating area with a sofa. A fridge and kitchenware are also provided, as well as a coffee machine and a kettle. At the apartment complex, all units are equipped with bed linen and towels.

There is a coffee shop on-site.

Castellane Metro Station is 9.2 km from the apartment, while Marseille Chanot Exhibition and Convention Centre is 9.4 km away. The nearest airport is Marseille Provence Airport, 30 km from Love room Jacuzzi Sauna Privatif Marseille."
24,Studio inspiration luxury hotel Vieux-Port,€ 600,Managed by a private host,"Located in Marseille, 2.9 km from Fausse Monnaie and 500 metres from Vieux Port Metro station, Studio inspiration luxury hotel Vieux-Port offers air conditioning. The property is close to several well-known attractions, 2 km from Joliette Metro Station, 1.5 km from Marseille Saint-Charles Train Station and 1.5 km from Notre-Dame de la Garde Basilica. The property is 400 metres from the city centre and 2.2 km from Plage des Catalans.

With free WiFi, this 1-bedroom apartment provides a flat-screen TV and a kitchen with an oven and microwave. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Saint-Ferreol Street, Castellane Metro Station and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 22 km from Studio inspiration luxury hotel Vieux-Port."
25,"3 NIGHTS MINIMUM, Renovated entire flat, city of Marseille, 4 people, 1first floor",€ 473,Managed by a private host,"3 NIGHTS MINIMUM, Renovated entire flat, city of Marseille, 4 people in Marseille features accommodation with free WiFi, 1.5 km from Castellane Metro Station, 1.4 km from La Timone Metro Station and 1.5 km from Saint-Ferreol Street. The property is around 1.4 km from Marseille Saint-Charles Train Station, 3.1 km from Museum of European and Mediterranean Civilisations and 3.3 km from Joliette Metro Station. The property is non-smoking and is situated 1.6 km from Vieux Port Metro station.

The 1-bedroom apartment features a living room with a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are available in the apartment.

Les Terrasses du Port Shopping Centre is 3.4 km from the apartment, while Notre-Dame de la Garde Basilica is 3.7 km from the property. The nearest airport is Marseille Provence Airport, 23 km from 3 NIGHTS MINIMUM, Renovated entire flat, city of Marseille, 4 people."
26,Golden Tulip Villa Massalia,"€ 1,031",1 large double bed,"A 7-minute walk from the beach, Golden Tulip Villa Massalia is 3.5 km from Velodrome Stadium and 6 km from Les Goudes. It offers luxury accommodation with an outdoor pool open in the season and free WiFi.

The air-conditioned rooms offer a flat-screen TV and a safe. Deluxe rooms feature a balcony or terrace with panoramic sea views. The bathrooms have a hairdryer, toiletries, bath robes and slippers. A bottle of water is offered upon arrival.

Golden Tulip Villa Massalia's restaurant serves Mediterranean cuisine. During fine weather guests can dine on the terrace overlooking the racecourse. The hotel bar is open every day and serves cocktails and snacks.

Marseilles city centre is 5 km away. Villa Massalia can be accessed from the airport, a 35-minute drive away or Gare Saint Charles, a 20-minute drive from the hotel."
27,#LaFrenchCasa Belsunce,€ 508,Managed by a private host,"#LaFrenchCasa Belsunce is set in the Vieux Port - La Canebière district of Marseille, 700 metres from Vieux Port Metro station, 1.5 km from Joliette Metro Station and 600 metres from Marseille Saint-Charles Train Station. There is a private entrance at the apartment for the convenience of those who stay. The property is less than 1 km from the city centre and 2.5 km from Plage des Catalans.

The air-conditioned units have a fully equipped kitchen with dining area, an oven, coffee machine, and a microwave. Some units feature a seating area and/or a terrace with an outdoor dining area. All units have a private bathroom with a shower and a hair dryer.

Popular points of interest near the apartment include Les Terrasses du Port Shopping Centre, Museum of European and Mediterranean Civilisations and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 22 km from #LaFrenchCasa Belsunce."
28,Aparthotel Adagio Access Marseille Saint Charles,€ 580,Beds: 1 double or 2 singles,"Located just 100 metres from Saint Charles Train Station, Aparthotel Adagio Access Marseille Saint Charles offers spacious accommodation. Marseille's city centre is just a 10-minute walk away.

The modern air-conditioned studios and apartments have free WiFi and are serviced by a lift. The fully equipped kitchen or kitchenette features a microwave and a refrigerator.

A buffet breakfast is served every morning in the breakfast room and children from 4 to 11 years old can enjoy it at a reduced rate.

Additional facilities at Adagio Access Marseille Saint Charles include a 24-hour reception.

The Old Port and Longchamp Park are both a 20-minute walk from this eco-friendly hotel. Marseille Provence Airport is 26 km away, which is accessible by a local shuttle bus."
